Time,Discharge_Capacity,Current
2015-11-13 09:44:36,0.217333078384399,-6.52009105682373
2015-11-13 09:44:46,0.43466392159462,-6.52010774612427
2015-11-13 09:44:56,0.652011692523956,-6.52012157440186
2015-11-13 09:45:06,0.86934506893158,-6.52016019821167
2015-11-13 09:45:16,1.08668231964111,-6.52017021179199
2015-11-13 09:45:26,1.30401349067688,-6.51988172531128
2015-11-13 09:45:36,1.36587011814117,-6.5201621055603
2015-11-13 09:45:46,1.36596512794495,0
2015-11-13 09:45:56,1.36596512794495,0
2015-11-13 09:46:06,1.36596512794495,0
2015-11-13 09:46:16,0,3.25998783111572
2015-11-13 09:46:26,0,3.25991916656494
2015-11-13 09:46:36,0,3.25996494293213
2015-11-13 09:46:46,0,3.25994968414307
2015-11-13 09:46:56,0,3.25990009307861
